target,Ftime,Sip,Dip,Dport135,Dport1723,Dport21,Dport22,Dport23,Dport443,Dport53,Dport80,Dport8080,Dport995,Dportother,FGack,FGcwr,FGece,FGfin,FGns,FGpsh,FGrst,FGsyn,FGurg,Sport135,Sport1723,Sport21,Sport22,Sport23,Sport443,Sport53,Sport80,Sport8080,Sport995,Sportother
0,"Jul  6, 2020 05:25:59.295389880 UTC",172.217.204.95,10.142.0.3,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
0,"Jul  6, 2020 05:26:03.099811221 UTC",,,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,"Jul  6, 2020 05:26:04.866562474 UTC",0.0.0.0,255.255.255.255,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,"Jul  6, 2020 05:25:59.294548085 UTC",10.142.0.3,169.254.169.254,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,"Jul  6, 2020 05:25:59.294562864 UTC",10.142.0.3,172.217.204.95,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,"Jul  6, 2020 05:26:03.099944347 UTC",169.254.15.115,224.0.0.251,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,"Jul  6, 2020 05:26:03.099746247 UTC",192.168.2.1,224.0.0.251,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,"Jul  6, 2020 05:25:59.294985781 UTC",169.254.169.254,10.142.0.3,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
0,"Jul  6, 2020 05:27:09.972970561 UTC",169.254.169.254,10.142.0.3,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
0,"Jul  6, 2020 05:27:07.195561913 UTC",74.125.77.164,10.142.0.3,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
